PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y
Crystal Dangerfield,Above the Break 3,Left Side Center(LC),24+ ft.,24,-115,213
Napheesa Collier,Restricted Area,Center(C),Less Than 8 ft.,2,13,17
Sylvia Fowles,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,50
Napheesa Collier,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,64
Brionna Jones,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,31,55
Alyssa Thomas,Restricted Area,Center(C),Less Than 8 ft.,3,-30,20
A'ja Wilson,Mid-Range,Center(C),8-16 ft.,14,1,145
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5
Stefanie Dolson,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,235
Lindsay Allen,Restricted Area,Center(C),Less Than 8 ft.,2,-22,4
Azurá Stevens,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,30
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Azurá Stevens,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,140
Diamond DeShields,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,51
Lindsay Allen,Mid-Range,Left Side(L),16-24 ft.,16,-164,-21
Azurá Stevens,Mid-Range,Right Side Center(RC),16-24 ft.,20,164,129
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,1,0,13
Carolyn Swords,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,13
Allie Quigley,Mid-Range,Center(C),8-16 ft.,15,-12,157
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-15
Angel McCoughtry,Mid-Range,Left Side Center(LC),16-24 ft.,20,-137,157
A'ja Wilson,Mid-Range,Right Side(R),8-16 ft.,13,128,-28
Gabby Williams,Above the Break 3,Center(C),24+ ft.,25,-26,253
A'ja Wilson,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,69,109
Cheyenne Parker,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Cheyenne Parker,Mid-Range,Left Side(L),16-24 ft.,18,-157,104
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,1,-8,11
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,1,-19,4
Azurá Stevens,Above the Break 3,Center(C),24+ ft.,26,-7,260
Gabby Williams,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Carolyn Swords,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,-1
Kahleah Copper,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,2
Gabby Williams,Mid-Range,Center(C),16-24 ft.,16,-13,165
Azurá Stevens,Mid-Range,Left Side(L),8-16 ft.,8,-85,-8
Angel McCoughtry,Restricted Area,Center(C),Less Than 8 ft.,1,-8,11
Avery Warley-Talbert,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6
Angel McCoughtry,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,40
Jackie Young,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,108
Angel McCoughtry,Mid-Range,Center(C),16-24 ft.,16,40,163
Jackie Young,Mid-Range,Center(C),8-16 ft.,15,23,154
Courtney Vandersloot,Above the Break 3,Right Side Center(RC),24+ ft.,25,230,100
Courtney Vandersloot,Mid-Range,Left Side Center(LC),16-24 ft.,19,-76,176
Courtney Vandersloot,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,213
Diamond DeShields,Restricted Area,Center(C),Less Than 8 ft.,1,15,9
Angel McCoughtry,Mid-Range,Center(C),16-24 ft.,17,9,174
Carolyn Swords,Restricted Area,Center(C),Less Than 8 ft.,0,3,8
Angel McCoughtry,Mid-Range,Right Side Center(RC),16-24 ft.,17,135,106
A'ja Wilson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,44,30
Ruthy Hebard,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,-3
Ruthy Hebard,Mid-Range,Right Side(R),8-16 ft.,11,108,27
Cheyenne Parker,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,32
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,1,10,8
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,2,20,20
Kahleah Copper,Mid-Range,Left Side(L),16-24 ft.,16,-167,16
Danielle Robinson,Mid-Range,Center(C),16-24 ft.,18,-6,188
Gabby Williams,Mid-Range,Right Side(R),16-24 ft.,18,163,83
Kahleah Copper,Above the Break 3,Left Side(L),24+ ft.,23,-236,39
A'ja Wilson,Mid-Range,Left Side Center(LC),16-24 ft.,17,-67,157
Gabby Williams,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-4
Kahleah Copper,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,63
Angel McCoughtry,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,4
Allie Quigley,Above the Break 3,Left Side Center(LC),24+ ft.,24,-142,201
Angel McCoughtry,Mid-Range,Left Side Center(LC),16-24 ft.,17,-71,158
Angel McCoughtry,Mid-Range,Left Side Center(LC),16-24 ft.,17,-131,116
Jackie Young,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,60
Kahleah Copper,Mid-Range,Center(C),8-16 ft.,15,2,154
A'ja Wilson,Restricted Area,Center(C),Less Than 8 ft.,3,2,33
Allie Quigley,Mid-Range,Center(C),16-24 ft.,16,-48,162
A'ja Wilson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,14
A'ja Wilson,Mid-Range,Center(C),16-24 ft.,18,-54,173
Kahleah Copper,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-6
Dearica Hamby,Restricted Area,Center(C),Less Than 8 ft.,2,3,20
Kahleah Copper,Restricted Area,Center(C),Less Than 8 ft.,0,4,4
Gabby Williams,Mid-Range,Right Side(R),8-16 ft.,8,81,22
Cheyenne Parker,Restricted Area,Center(C),Less Than 8 ft.,1,-8,18
Allie Quigley,Above the Break 3,Left Side Center(LC),24+ ft.,25,-221,126
Elizabeth Williams,Restricted Area,Center(C),Less Than 8 ft.,1,11,15
Betnijah Laney,Restricted Area,Center(C),Less Than 8 ft.,0,3,3
Arike Ogunbowale,Mid-Range,Right Side(R),16-24 ft.,16,145,74
